Label,Best Model,Accuracy,F1 Score,ROC-AUC
NR-AR,RandomForest,0.9725,0.6126,0.8728
NR-AR-LBD,XGBoost,0.9712,0.5545,0.852
NR-AhR,XGBoost,0.8505,0.4868,0.87
NR-Aromatase,XGBoost,0.9029,0.2762,0.8355
NR-ER,RandomForest,0.8505,0.381,0.722
NR-ER-LBD,RandomForest,0.945,0.411,0.8009
NR-PPAR-gamma,RandomForest,0.9585,0.2857,0.7912
SR-ARE,XGBoost,0.8019,0.4106,0.756
SR-ATAD5,RandomForest,0.915,0.2732,0.8094
SR-HSE,RandomForest,0.9093,0.2111,0.7267
SR-MMP,XGBoost,0.83,0.4722,0.8559
SR-p53,XGBoost,0.8754,0.296,0.797
